
2023/07/03 (10:45:30) | ===> btop++ v.1.2.13
2023/07/03 (10:45:30) | INFO: Logger set to INFO

2023/07/20 (21:50:54) | ===> btop++ v.1.2.13
2023/07/20 (21:50:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/20 (21:56:39) | ===> btop++ v.1.2.13
2023/07/20 (21:56:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/21 (21:07:22) | ===> btop++ v.1.2.13
2023/07/21 (21:07:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/02 (16:25:49) | ===> btop++ v.1.2.13
2023/08/02 (16:25:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/08/02 (17:06:42) | ERROR: Stall in Runner thread, restarting!
2023/08/02 (17:06:48) | ERROR: Stall in Runner thread, restarting!

2023/08/03 (23:51:33) | ===> btop++ v.1.2.13
2023/08/03 (23:51:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/04 (00:53:59) | ===> btop++ v.1.2.13
2023/08/04 (00:53:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/04 (01:13:05) | ===> btop++ v.1.2.13
2023/08/04 (01:13:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/04 (01:13:24) | ===> btop++ v.1.2.13
2023/08/04 (01:13:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/08/04 (01:34:24) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (01:34:30) | ERROR: Stall in Runner thread, restarting!

2023/08/08 (20:40:49) | ===> btop++ v.1.2.13
2023/08/08 (20:40:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/08 (23:18:19) | ===> btop++ v.1.2.13
2023/08/08 (23:18:19) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/08 (23:29:15) | ===> btop++ v.1.2.13
2023/08/08 (23:29:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/08 (23:29:49) | ===> btop++ v.1.2.13
2023/08/08 (23:29:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/08 (23:32:16) | ===> btop++ v.1.2.13
2023/08/08 (23:32:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/09 (15:11:55) | ===> btop++ v.1.2.13
2023/08/09 (15:11:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/09 (15:13:08) | ===> btop++ v.1.2.13
2023/08/09 (15:13:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/09 (17:21:35) | ===> btop++ v.1.2.13
2023/08/09 (17:21:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/08/09 (20:02:36) | ERROR: Stall in Runner thread, restarting!
2023/08/09 (23:30:01) | ERROR: Stall in Runner thread, restarting!
2023/08/10 (01:30:49) | ERROR: Stall in Runner thread, restarting!

2023/08/18 (00:03:37) | ===> btop++ v.1.2.13
2023/08/18 (00:03:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/08/18 (00:15:38) | ERROR: Stall in Runner thread, restarting!
2023/08/18 (00:15:46) | ERROR: Stall in Runner thread, restarting!
2023/08/18 (01:06:26) | ERROR: Stall in Runner thread, restarting!
2023/08/18 (01:06:32) | ERROR: Stall in Runner thread, restarting!

2023/08/22 (10:03:25) | ===> btop++ v.1.2.13
2023/08/22 (10:03:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/08/22 (11:01:14) | ERROR: Stall in Runner thread, restarting!
2023/08/22 (11:01:21) | ERROR: Stall in Runner thread, restarting!

2024/03/06 (23:04:46) | ===> btop++ v.1.3.2
2024/03/06 (23:04:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/06 (23:10:41) | ===> btop++ v.1.3.2
2024/03/06 (23:10:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/08 (01:15:31) | ===> btop++ v.1.3.2
2024/03/08 (01:15:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/08 (01:16:25) | ===> btop++ v.1.3.2
2024/03/08 (01:16:25) | WARNING: Failed to set locale UTF-8 continuing anyway.
